NumeroCarteElecteur,CIN,Nom,Prenom,DateNaissance,Commune,BureauVote,Email,Telephone,LieuDeNaissance,Sexe
770011122,XY770011,Chloé,Martin,1995-03-14,Marseille,Bureau JJ,chloe.martin@example.com,0771234568,Marseille,Féminin
770012233,XY770012,Alexandre,Dupuis,1990-11-28,Lille,Bureau KK,alexandre.dupuis@example.com,0772345679,Lille,Masculin
770013344,XY770013,Manon,Legrand,1992-07-05,Nantes,Bureau LL,manon.legrand@example.com,0773456780,Nantes,Féminin
770014455,XY770014,Lucas,Richard,1988-04-19,Bordeaux,Bureau MM,lucas.richard@example.com,0774567891,Bordeaux,Masculin
770015566,XY770015,Alice,Noir,1985-09-12,Strasbourg,Bureau NN,alice.noir@example.com,0775678902,Strasbourg,Féminin
770016677,XY770016,Victor,Moreau,1993-10-30,Montpellier,Bureau OO,victor.moreau@example.com,0776789013,Montpellier,Masculin
770017788,XY770017,Sandrine,Bernard,1991-05-22,Rennes,Bureau PP,sandrine.bernard@example.com,0777890124,Rennes,Féminin
770018899,XY770018,Julien,Simon,1987-12-15,Clermont-Ferrand,Bureau QQ,julien.simon@example.com,0778901235,Clermont-Ferrand,Masculin
770019900,XY770019,Léa,Faucher,1994-01-04,Avignon,Bureau RR,lea.faucher@example.com,0779012346,Avignon,Féminin
770020011,XY770020,Théo,Faure,1996-08-23,Toulouse,Bureau SS,theo.faure@example.com,0770123457,Toulouse,Masculin
